node_id,score,profile,reactions,VENTS
768100,0.010409,Positive,787319,"' 🕯️ Trans Remembrance 🕯️', ' 🔴 Autism Acceptance 🔴', ' 💍 Marriage 💍', ' Surprise', ' ☃️ Wintery ☃️', ' 🐰 Springy 🐰', "" 🌍 Earth Day '18 🌍"", ' 🧚 Fairy Tale 🧚', ' 🎅 Festive 2016 🎅', ' ✨ Advent ✨', ' 🧛 Vampire 🧛', ' Happiness', ' Anger', ' ㊗ Lunar NY ㊗', ' Affection', ' ☕ Coffee Day ☕', '✨ Advent ✨', ' Creativity', ' 👼 Angel Day 👼', ' Fear', ' Festive 2015', ' 👻 Halloween 👻', ' 🌷 Kindness Day 🌷', ' Happy Birthday!', ' Feelings', ' 🏖 Summery 🏖', ' 🐇 Rabbit Day 🐇', ' ✊ Black HM ✊', ' 🐶 Dog Day 🐶', ' 🥀 Punk Day 🥀', ' 🐈 Cat Day 🐈', ' 🐸 Frog Day 🐸', ' 🐜 Insect 🐜', ' ⚔ Star wars ⚔', "" ♻️ Earth Day '17 ♻️"", ' 💪 Hurricane 💖', ' 🧟 Zombie 🧟', "" ⚽ Football '18 ⚽"", ' 🍾 New Year 🍾', "" ✏️ Writers' Day ✏️"", ' 🍬 Candy 🍬', "" 🏳️\u200d🌈 Pride '18 🏳️\u200d🌈"", ' 🌑 Solar Eclipse 🌑', ' ✡️ Hanukkah ✡️', ' 🎗️ Mental Health 🎗️', "" 🍀 St Patrick's 🍀"", ' 🌙 Ramadan 🌙', ' 💞 Valentines ‘18 💞', ' 🍂 Autumn 🍂', ' 🕸 Halloweenie 🕸', ' 🚧 Friday 13th 🚧', ' 🎮 Gaming 🎮', ' ✨ Friendship Day ✨', ' 💝 Valentines ‘17 💝', ' Paralympics', ' 🌈 LGBT+ Pride 🌈', ' Sadness', ' 🦈 Shark Day 🦈', ' ☠️ Pirate Day ☠️', ' Positivity', "" 💅 Women's HM 💅"
653154,0.00976,Positive,167355,"' Surprise', ' 🐰 Springy 🐰', ' ☃️ Wintery ☃️', "" 🌍 Earth Day '18 🌍"", ' 🧚 Fairy Tale 🧚', ' 🎅 Festive 2016 🎅', ' Happiness', ' Anger', ' ㊗ Lunar NY ㊗', ' Affection', ' ☕ Coffee Day ☕', ' Creativity', ' 👼 Angel Day 👼', ' Fear', ' 👻 Halloween 👻', ' Feelings', ' 🏖 Summery 🏖', ' ✊ Black HM ✊', ' 🐶 Dog Day 🐶', ' 🐈 Cat Day 🐈', "" ♻️ Earth Day '17 ♻️"", ' ⚔ Star wars ⚔', ' 🦈 Shark Day 🦈', ' 🌑 Solar Eclipse 🌑', ' 🍾 New Year 🍾', "" ✏️ Writers' Day ✏️"", ' 🍬 Candy 🍬', ' ✡️ Hanukkah ✡️', "" 🍀 St Patrick's 🍀"", ' 🍂 Autumn 🍂', ' 🕸 Halloweenie 🕸', ' 🚧 Friday 13th 🚧', ' 💝 Valentines ‘17 💝', ' ✨ Friendship Day ✨', 'Creativity', ' Paralympics', ' 🌈 LGBT+ Pride 🌈', ' Sadness', ' 💞 Valentines ‘18 💞', ' ☠️ Pirate Day ☠️', ' Positivity', "" 💅 Women's HM 💅"""
564363,0.006833,Positive,7070,"' Creativity', ' Surprise', ' Fear', ' 🌑 Solar Eclipse 🌑', ' 👻 Halloween 👻', "" ✏️ Writers' Day ✏️"", ' ☃️ Wintery ☃️', ' ✡️ Hanukkah ✡️', ' ☕ Coffee Day ☕', "" 🏳️\u200d🌈 Pride '18 🏳️\u200d🌈"", ' 🏖 Summery 🏖', ' Happiness', ' Affection', '👻 Halloween 👻', ' Positivity'"
25056,0.003375,Positive,108231,"' Surprise', ' 🐰 Springy 🐰', ' ☃️ Wintery ☃️', "" 🌍 Earth Day '18 🌍"", ' 🧚 Fairy Tale 🧚', ' 🎅 Festive 2016 🎅', ' ✨ Advent ✨', ' 🧛 Vampire 🧛', ' Happiness', ' Anger', ' ㊗ Lunar NY ㊗', ' Affection', ' 👋 Newbie 👋', ' ☕ Coffee Day ☕', ' Creativity', ' 👼 Angel Day 👼', ' Fear', ' Festive 2015', ' 👻 Halloween 👻', ' 🌷 Kindness Day 🌷', ' Feelings', ' 🏖 Summery 🏖', ' 🐇 Rabbit Day 🐇', ' 🐶 Dog Day 🐶', ' 🐈 Cat Day 🐈', ' 🥀 Punk Day 🥀', "" ♻️ Earth Day '17 ♻️"", ' 🐸 Frog Day 🐸', ' 🐜 Insect 🐜', ' ⚔ Star wars ⚔', ' 💪 Hurricane 💖', '☕ Coffee Day ☕', ' 🧟 Zombie 🧟', "" ⚽ Football '18 ⚽"", ' 🍾 New Year 🍾', "" ✏️ Writers' Day ✏️"", ' ✡️ Hanukkah ✡️', ' 🍬 Candy 🍬', ' 🌑 Solar Eclipse 🌑', ' 🎗️ Mental Health 🎗️', "" 🍀 St Patrick's 🍀"", ' 🌙 Ramadan 🌙', ' 🍂 Autumn 🍂', ' 🕸 Halloweenie 🕸', ' 🚧 Friday 13th 🚧', ' 🎮 Gaming 🎮', ' 💝 Valentines ‘17 💝', ' ✨ Friendship Day ✨', ' 🌈 LGBT+ Pride 🌈', ' Sadness', ' 💞 Valentines ‘18 💞', ' ☠️ Pirate Day ☠️', ' Positivity', "" 💅 Women's HM 💅"""
120858,0.003354,Positive,7804,"Positivity', ' Affection'"
