node_id,score
768100,0.010409
653154,0.00976
564363,0.006833
25056,0.003375
120858,0.003354
35705,0.003329
880652,0.002209
316195,0.002181
43147,0.001631
485026,0.001613
741235,0.001583
60303,0.001566
499567,0.001554
384702,0.001529
4063,0.001502
239168,0.001483
833199,0.001454
901899,0.001453
604376,0.001375
461427,0.001328
