node_id,score,profile,reactions,VENTS
206017,0.102766,Poditive,46547,"' Creativity', ' Surprise', ' Fear', ' 🐰 Springy 🐰', ' 💝 Valentines ‘17 💝', ' 🎅 Festive 2016 🎅', ' Feelings', ' Happiness', ' Sadness', "" 🍀 St Patrick's 🍀"", 'Happiness', ' ✊ Black HM ✊', ' Anger', ' Affection', ' ⚔ Star wars ⚔', ' Positivity'"
25840,0.101722,Poditive,6226,"' Creativity', ' Surprise', ' Fear', ' 🐰 Springy 🐰', ' 🍾 New Year 🍾', ' 👻 Halloween 👻', 'Creativity', ' Feelings', ' Happiness', ' Sadness', ' Anger', ' Affection', ' Positivity'"
322502,0.101318,Poditive,73184,"' 🕸 Halloweenie 🕸', ' Creativity', ' Surprise', ' Festive 2015', ' 👻 Halloween 👻', ' 💝 Valentines ‘17 💝', ' Feelings', 'Positivity', ' Happiness', ' Sadness', ' Anger', ' Affection', ' Positivity'"
99870,0.098089,Poditive,30933,"' 🕯️ Trans Remembrance 🕯️', ' 🔴 Autism Acceptance 🔴', ' 💍 Marriage 💍', ' Surprise', ' 🐰 Springy 🐰', ' ☃️ Wintery ☃️', ' 🧚 Fairy Tale 🧚', ' 🎅 Festive 2016 🎅', ' 🧛 Vampire 🧛', ' Happiness', ' Anger', ' Affection', ' Creativity', ' Fear', ' 👻 Halloween 👻', 'Anger', ' Feelings', ' Happy Birthday!', ' 🏖 Summery 🏖', ' ✊ Black HM ✊', ' 🐜 Insect 🐜', ' 🧟 Zombie 🧟', ' 🍾 New Year 🍾', ' ✡️ Hanukkah ✡️', ' 🍬 Candy 🍬', ' 🎗️ Mental Health 🎗️', ' 🕸 Halloweenie 🕸', ' ✨ Friendship Day ✨', ' Paralympics', ' 🌈 LGBT+ Pride 🌈', ' Sadness', ' 💞 Valentines ‘18 💞', ' Positivity', "" 💅 Women's HM 💅"""
874574,0.091298,Poditive,142611,"' 💍 Marriage 💍', ' Surprise', ' 🐰 Springy 🐰', ' 🧚 Fairy Tale 🧚', ' 🎅 Festive 2016 🎅', ' Happiness', ' Anger', ' ㊗ Lunar NY ㊗', ' Affection', '✨ Advent ✨', ' Creativity', ' 👼 Angel Day 👼', ' Fear', ' Festive 2015', ' 👻 Halloween 👻', ' 🌷 Kindness Day 🌷', ' Feelings', ' 🏖 Summery 🏖', ' 🐇 Rabbit Day 🐇', ' ✊ Black HM ✊', ' 🐸 Frog Day 🐸', "" ⚽ Football '18 ⚽"", ' 🍾 New Year 🍾', "" 🏳️\u200d🌈 Pride '18 🏳️\u200d🌈"", ' 🎗️ Mental Health 🎗️', ' 🌙 Ramadan 🌙', ' 🕸 Halloweenie 🕸', ' 🎮 Gaming 🎮', ' 💝 Valentines ‘17 💝', ' Sadness', ' 💞 Valentines ‘18 💞', ' Positivity', "" 💅 Women's HM 💅"""
